"symbol","status","file","refs_R","refs_tests","refs_vignettes","refs_examples_docs","classification","replacement_candidate"
"print.causalmixgpd_causal_predict_plots","s3-method","R/methods.R",1,4,0,2,"keep-core",""
"print.causalmixgpd_ps_bundle","s3-method","R/methods.R",2,3,0,2,"keep-core",""
"print.causalmixgpd_ps_fit","s3-method","R/methods.R",2,2,0,2,"keep-core",""
"print.causalmixgpd_qte","s3-method","R/methods.R",3,7,0,4,"keep-core",""
"print.dpmixgpd_cluster_bundle","s3-method","R/cluster_s3.R",2,1,0,17,"keep-core",""
"print.dpmixgpd_cluster_fit","s3-method","R/cluster_s3.R",1,1,0,16,"keep-core",""
"print.dpmixgpd_cluster_labels","s3-method","R/cluster_s3.R",1,1,0,16,"keep-core",""
"print.dpmixgpd_cluster_psm","s3-method","R/cluster_s3.R",1,1,0,16,"keep-core",""
"print.mixgpd_allocation","s3-method","R/methods.R",2,3,0,3,"keep-core",""
"print.mixgpd_allocation_plots","s3-method","R/methods.R",1,0,0,2,"keep-core",""
"print.mixgpd_ess_summary","s3-method","R/methods.R",1,0,0,0,"keep-core",""
"print.mixgpd_fit","s3-method","R/methods.R",3,4,0,4,"keep-core",""
"print.mixgpd_fit_plots","s3-method","R/methods.R",1,4,0,2,"keep-core",""
"print.mixgpd_fitted_plots","s3-method","R/methods.R",1,4,0,2,"keep-core",""
"print.mixgpd_params","s3-method","R/methods.R",1,6,0,0,"keep-core",""
"print.mixgpd_params_pair","s3-method","R/methods.R",1,4,0,0,"keep-core",""
"print.mixgpd_predict_plots","s3-method","R/methods.R",1,4,0,2,"keep-core",""
"print.mixgpd_summary","s3-method","R/methods.R",1,3,0,2,"keep-core",""
"print.summary.causalmixgpd_ate","s3-method","R/methods.R",1,7,0,2,"keep-core",""
"print.summary.causalmixgpd_qte","s3-method","R/methods.R",1,7,0,2,"keep-core",""
"print.summary.mixgpd_allocation","s3-method","R/methods.R",1,1,0,2,"keep-core",""
"residuals.mixgpd_fit","s3-method","R/methods.R",4,3,0,5,"keep-core",""
"summary.causalmixgpd_ate","s3-method","R/methods.R",8,8,0,8,"keep-core",""
"summary.causalmixgpd_bundle","s3-method","R/methods.R",3,4,0,4,"keep-core",""
"summary.causalmixgpd_causal_bundle","s3-method","R/methods.R",3,4,0,4,"keep-core",""
"summary.causalmixgpd_causal_fit","s3-method","R/methods.R",3,2,0,4,"keep-core",""
"summary.causalmixgpd_ps_bundle","s3-method","R/methods.R",1,2,0,0,"keep-core",""
"summary.causalmixgpd_ps_fit","s3-method","R/methods.R",1,2,0,0,"keep-core",""
"summary.causalmixgpd_qte","s3-method","R/methods.R",8,8,0,8,"keep-core",""
"summary.dpmixgpd_cluster_bundle","s3-method","R/cluster_s3.R",4,2,0,18,"keep-core",""
"summary.dpmixgpd_cluster_fit","s3-method","R/cluster_s3.R",8,2,0,22,"keep-core",""
"summary.dpmixgpd_cluster_labels","s3-method","R/cluster_s3.R",6,2,0,20,"keep-core",""
"summary.dpmixgpd_cluster_psm","s3-method","R/cluster_s3.R",5,2,0,19,"keep-core",""
"summary.mixgpd_allocation","s3-method","R/methods.R",6,4,0,7,"keep-core",""
"summary.mixgpd_ess_summary","s3-method","R/methods.R",1,0,0,0,"keep-core",""
"summary.mixgpd_fit","s3-method","R/methods.R",10,3,0,11,"keep-core",""
".cluster_indexed_block","internal","R/cluster_run_predict.R",1,0,0,0,"remove-stale",""
".cluster_or","internal","R/cluster.R",1,0,0,0,"remove-stale",""
".cmgpd_progress_inline_bar","internal","R/internal.R",1,0,0,0,"remove-stale",""
